customer_id,purchase_amount,purchase_date,channel,product_category,transaction_type,customer_tier
657,21.32,5/21/2024,Online,Electronics,Return,Gold
963,183.26,2/4/2024,In-store,Books,Full Price,Platinum
958,129.07,2/13/2024,Online,Home,Return,Bronze
735,225.15,2/24/2024,In-store,Apparel,Full Price,Bronze
883,12.51,2/29/2024,In-store,Books,Return,Bronze
769,462.77,5/11/2024,Online,Electronics,Full Price,Platinum
780,23.5,6/5/2024,In-store,Apparel,Return,Silver
871,1.18,7/25/2024,Online,Apparel,Full Price,Bronze
516,596.11,4/11/2024,Online,Electronics,Return,Bronze
938,33,6/14/2024,Online,Apparel,Full Price,Bronze
397,110.27,5/13/2024,In-store,Home,Full Price,Gold
866,19.44,9/20/2023,In-store,Home,Full Price,Gold
106,86.8,6/29/2024,In-store,Books,Full Price,Silver
85,234.38,4/8/2024,In-store,Books,Discount,Bronze
214,38.59,7/29/2024,Online,Apparel,Return,Platinum
121,110.94,7/28/2024,Online,Electronics,Discount,Bronze
132,20.81,8/11/2023,In-store,Home,Discount,Silver
850,98.03,11/15/2023,In-store,Groceries,Full Price,Bronze
197,41.02,6/20/2024,Online,Books,Discount,Bronze
19,23.73,7/23/2024,In-store,Home,Full Price,Bronze
642,37.57,9/29/2023,Online,Apparel,Discount,Silver
12,19.7,3/9/2024,In-store,Home,Full Price,Silver
81,232.19,4/26/2024,In-store,Home,Discount,Bronze
330,50.61,10/30/2023,In-store,Apparel,Full Price,Bronze
866,28.14,3/12/2024,Online,Books,Full Price,Gold
774,59.49,10/28/2023,Online,Books,Full Price,Bronze
392,38.65,7/5/2024,In-store,Groceries,Full Price,Bronze
637,136.42,6/19/2024,In-store,Groceries,Full Price,Silver
307,354.81,3/23/2024,In-store,Books,Full Price,Gold
267,57.63,12/29/2023,In-store,Books,Discount,Bronze
447,197.35,4/29/2024,In-store,Books,Full Price,Platinum
441,83.44,7/24/2024,In-store,Books,Discount,Bronze
895,17.11,5/7/2024,In-store,Home,Full Price,Bronze
652,117.32,8/22/2023,In-store,Groceries,Full Price,Bronze
841,72.04,3/16/2024,Online,Apparel,Full Price,Silver
2,105.16,11/29/2023,Online,Electronics,Full Price,Bronze
520,220.44,7/11/2024,Online,Apparel,Full Price,Silver
762,58.06,11/10/2023,Online,Electronics,Full Price,Bronze
651,231.44,3/6/2024,In-store,Home,Full Price,Bronze
636,138.9,1/30/2024,Online,Groceries,Discount,Gold
309,67.06,12/18/2023,Online,Electronics,Full Price,Gold
740,92.44,10/14/2023,In-store,Books,Full Price,Bronze
522,39.39,6/26/2024,Online,Home,Discount,Silver
469,411.03,11/29/2023,Online,Electronics,Discount,Silver
212,110.07,5/20/2024,Online,Books,Full Price,Bronze
112,4.48,3/4/2024,Online,Home,Discount,Silver
8,39.54,7/31/2024,Online,Electronics,Return,Bronze
804,97.63,5/24/2024,In-store,Books,Full Price,Silver
477,5.8,10/13/2023,In-store,Groceries,Full Price,Gold
874,2.42,12/15/2023,In-store,Home,Return,Bronze
460,59.79,1/3/2024,Online,Electronics,Full Price,Bronze
253,40.45,5/21/2024,Online,Books,Full Price,Bronze
526,57.68,8/4/2023,Online,Groceries,Full Price,Platinum
752,30.48,4/27/2024,In-store,Books,Discount,Gold
438,18,5/9/2024,Online,Groceries,Return,Bronze
754,116.84,12/17/2023,Online,Electronics,Discount,Silver
981,72.27,10/7/2023,Online,Books,Return,Bronze
854,22.33,12/9/2023,Online,Books,Full Price,Silver
661,38.51,10/13/2023,In-store,Apparel,Full Price,Silver
236,89.6,12/23/2023,In-store,Home,Discount,Platinum
306,7.5,12/22/2023,Online,Books,Return,Bronze
478,15.95,10/25/2023,In-store,Groceries,Full Price,Silver
679,7.61,12/24/2023,In-store,Home,Full Price,Gold
20,167.3,12/29/2023,In-store,Electronics,Full Price,Gold
216,139.6,12/14/2023,Online,Home,Full Price,Silver
855,139.96,2/14/2024,In-store,Apparel,Full Price,Silver
135,125.99,9/7/2023,In-store,Electronics,Full Price,Bronze
905,110.68,6/20/2024,Online,Books,Return,Silver
129,64.82,11/17/2023,In-store,Electronics,Full Price,Gold
410,102.8,1/18/2024,In-store,Electronics,Discount,Platinum
422,3.91,4/27/2024,In-store,Apparel,Full Price,Gold
294,97.14,9/19/2023,Online,Groceries,Full Price,Bronze
246,150.45,7/18/2024,Online,Electronics,Full Price,Gold
701,69.39,4/10/2024,In-store,Groceries,Discount,Bronze
556,44.24,5/16/2024,Online,Home,Full Price,Bronze
86,32.49,10/29/2023,Online,Apparel,Discount,Silver
556,102.95,9/16/2023,Online,Books,Discount,Bronze
842,118.03,2/23/2024,In-store,Electronics,Full Price,Platinum
375,204.77,9/23/2023,In-store,Groceries,Full Price,Silver
446,41.91,4/4/2024,Online,Electronics,Discount,Silver
378,146.87,2/22/2024,In-store,Apparel,Full Price,Silver
390,82.41,9/28/2023,Online,Books,Full Price,Gold
657,214.42,8/16/2023,Online,Home,Full Price,Silver
51,75.04,3/8/2024,In-store,Home,Full Price,Bronze
242,72.9,2/20/2024,Online,Groceries,Return,Gold
294,86.25,2/4/2024,Online,Home,Full Price,Bronze
920,138.36,5/4/2024,Online,Groceries,Full Price,Bronze
563,334.36,12/22/2023,Online,Books,Full Price,Silver
266,7.64,11/9/2023,In-store,Electronics,Discount,Bronze
120,5.49,12/6/2023,Online,Apparel,Discount,Platinum
712,277.34,9/28/2023,In-store,Books,Return,Silver
917,75.48,6/28/2024,Online,Books,Discount,Platinum
248,95.43,2/16/2024,In-store,Home,Full Price,Bronze
70,65.86,3/29/2024,Online,Home,Full Price,Platinum
853,9.83,12/21/2023,Online,Apparel,Full Price,Bronze
57,146.14,3/4/2024,In-store,Electronics,Discount,Bronze
382,137.53,1/25/2024,In-store,Books,Discount,Bronze
39,37.35,6/19/2024,Online,Home,Return,Silver
984,36.56,7/3/2024,Online,Books,Discount,Bronze
801,181.92,8/5/2023,Online,Electronics,Full Price,Silver
443,7.51,4/3/2024,Online,Groceries,Full Price,Bronze
18,212.95,8/30/2023,Online,Electronics,Full Price,Bronze
952,29.66,7/1/2024,In-store,Books,Full Price,Silver
732,89.89,2/2/2024,In-store,Books,Full Price,Bronze
825,274.88,2/21/2024,Online,Apparel,Full Price,Gold
756,113.36,3/26/2024,In-store,Books,Full Price,Silver
352,53.52,11/20/2023,In-store,Home,Discount,Platinum
972,116.97,10/12/2023,Online,Apparel,Full Price,Bronze
816,42.16,8/10/2023,In-store,Books,Full Price,Platinum
298,32.47,11/21/2023,Online,Electronics,Full Price,Silver
283,570.88,3/24/2024,In-store,Books,Full Price,Platinum
586,138.95,7/20/2024,In-store,Electronics,Return,Bronze
110,103.48,6/27/2024,In-store,Electronics,Full Price,Gold
180,43.9,1/16/2024,In-store,Books,Return,Gold
938,5.04,11/27/2023,In-store,Electronics,Full Price,Bronze
544,3.15,4/13/2024,Online,Groceries,Full Price,Silver
746,80.78,9/8/2023,In-store,Apparel,Full Price,Gold
794,143.56,11/30/2023,Online,Books,Full Price,Silver
25,77.08,11/25/2023,In-store,Groceries,Full Price,Bronze
843,183.75,9/19/2023,In-store,Electronics,Discount,Silver
791,3.4,2/20/2024,In-store,Electronics,Full Price,Bronze
738,45.69,6/14/2024,Online,Apparel,Full Price,Gold
57,27.06,5/22/2024,In-store,Groceries,Full Price,Bronze
180,59.29,3/20/2024,In-store,Groceries,Full Price,Bronze
232,7.51,12/6/2023,Online,Books,Return,Bronze
894,308.2,5/25/2024,Online,Electronics,Discount,Silver
343,25.26,10/28/2023,Online,Home,Full Price,Platinum
477,255.5,6/30/2024,In-store,Books,Full Price,Bronze
799,55.49,3/31/2024,In-store,Books,Full Price,Bronze
576,423.53,7/10/2024,In-store,Books,Return,Bronze
455,80.76,2/28/2024,In-store,Apparel,Full Price,Gold
232,267.12,4/13/2024,Online,Apparel,Discount,Silver
289,0.54,11/4/2023,Online,Books,Full Price,Bronze
213,137.93,10/6/2023,In-store,Home,Return,Silver
258,233.36,4/8/2024,Online,Groceries,Full Price,Bronze
530,15.05,12/25/2023,Online,Groceries,Full Price,Silver
687,10.11,12/15/2023,Online,Electronics,Discount,Bronze
929,55.26,11/23/2023,In-store,Groceries,Return,Gold
229,271.32,11/26/2023,Online,Groceries,Return,Platinum
226,78.17,7/23/2024,In-store,Home,Discount,Gold
596,74.96,6/28/2024,In-store,Groceries,Discount,Silver
803,15.21,12/17/2023,In-store,Home,Full Price,Silver
435,0.08,5/20/2024,Online,Apparel,Discount,Bronze
882,166.15,10/5/2023,Online,Home,Discount,Gold
758,9.16,1/2/2024,Online,Apparel,Full Price,Silver
402,100.47,5/21/2024,Online,Home,Discount,Platinum
622,246.06,6/4/2024,In-store,Books,Full Price,Bronze
766,23.4,12/25/2023,In-store,Apparel,Full Price,Gold
88,109.44,10/31/2023,In-store,Apparel,Discount,Silver
584,8.2,11/26/2023,Online,Groceries,Full Price,Bronze
893,92.57,7/16/2024,Online,Apparel,Full Price,Silver
542,17.9,5/18/2024,Online,Home,Full Price,Platinum
684,133.16,4/17/2024,In-store,Books,Full Price,Platinum
309,35.84,3/18/2024,In-store,Books,Full Price,Gold
906,62.25,5/19/2024,Online,Groceries,Return,Bronze
343,91.49,11/21/2023,In-store,Home,Discount,Gold
436,18.79,7/14/2024,In-store,Home,Discount,Silver
177,135.34,6/19/2024,Online,Electronics,Full Price,Bronze
139,36.05,6/12/2024,Online,Apparel,Return,Bronze
194,108.58,7/29/2024,In-store,Groceries,Discount,Bronze
186,17.23,12/13/2023,Online,Books,Full Price,Bronze
218,116.51,12/26/2023,In-store,Electronics,Discount,Gold
164,13.72,6/3/2024,Online,Home,Return,Bronze
161,55.4,10/22/2023,In-store,Apparel,Full Price,Bronze
943,28.4,10/4/2023,Online,Books,Full Price,Bronze
525,137.98,5/29/2024,Online,Electronics,Return,Silver
808,30.39,5/23/2024,Online,Home,Full Price,Bronze
601,213.47,10/3/2023,In-store,Books,Discount,Bronze
836,222.4,3/12/2024,In-store,Books,Full Price,Bronze
42,21.87,1/12/2024,Online,Home,Full Price,Silver
915,95.15,1/7/2024,In-store,Home,Discount,Bronze
210,9.18,12/24/2023,In-store,Groceries,Full Price,Silver
741,49.68,8/5/2023,Online,Books,Discount,Bronze
862,124.94,11/29/2023,Online,Home,Full Price,Bronze
275,107.71,5/12/2024,Online,Electronics,Full Price,Bronze
954,98,11/24/2023,In-store,Apparel,Full Price,Bronze
279,33.2,6/11/2024,Online,Groceries,Full Price,Bronze
251,47.49,10/21/2023,In-store,Home,Full Price,Bronze
310,10.86,8/21/2023,In-store,Apparel,Discount,Bronze
720,126.95,1/10/2024,In-store,Groceries,Return,Gold
833,70.1,7/7/2024,Online,Books,Discount,Bronze
140,123.36,6/21/2024,Online,Apparel,Full Price,Gold
792,28.63,5/24/2024,In-store,Groceries,Discount,Gold
546,39.22,7/28/2024,In-store,Home,Return,Gold
821,40.68,12/5/2023,Online,Home,Full Price,Bronze
904,2.61,8/6/2023,Online,Groceries,Full Price,Gold
530,41.71,7/1/2024,Online,Books,Full Price,Bronze
57,162.61,4/6/2024,Online,Groceries,Full Price,Bronze
112,227.59,1/19/2024,Online,Electronics,Return,Bronze
5,73.03,5/3/2024,Online,Groceries,Full Price,Platinum
410,60.79,2/5/2024,Online,Groceries,Discount,Bronze
414,3.13,3/9/2024,Online,Home,Full Price,Platinum
182,211.37,1/12/2024,Online,Books,Full Price,Bronze
13,1.31,9/14/2023,In-store,Groceries,Full Price,Platinum
339,289.59,8/23/2023,Online,Apparel,Return,Platinum
797,67.18,1/11/2024,Online,Home,Full Price,Platinum
259,41.85,7/8/2024,In-store,Home,Discount,Silver
90,257.99,8/12/2023,Online,Groceries,Full Price,Gold
616,2.47,4/18/2024,Online,Apparel,Discount,Platinum
891,87.09,10/31/2023,In-store,Groceries,Discount,Bronze
698,79.61,9/14/2023,Online,Apparel,Discount,Silver
250,24.76,6/2/2024,In-store,Home,Full Price,Gold
255,56.02,7/17/2024,In-store,Apparel,Full Price,Bronze
588,105.63,5/8/2024,Online,Groceries,Full Price,Gold
898,129.88,1/17/2024,In-store,Electronics,Return,Bronze
971,0.07,12/10/2023,In-store,Electronics,Full Price,Silver
108,276.23,8/23/2023,In-store,Apparel,Full Price,Bronze
668,17.98,11/12/2023,In-store,Groceries,Full Price,Bronze
594,26.6,7/26/2024,Online,Books,Full Price,Bronze
589,30.58,10/17/2023,In-store,Electronics,Discount,Gold
485,3.86,6/4/2024,In-store,Home,Return,Bronze
982,13.13,3/9/2024,Online,Groceries,Full Price,Gold
972,429.4,6/20/2024,In-store,Groceries,Return,Gold
258,37.87,8/17/2023,Online,Electronics,Discount,Silver
639,12.25,1/14/2024,In-store,Books,Full Price,Bronze
997,11.32,2/9/2024,Online,Home,Return,Bronze
903,127.1,9/1/2023,In-store,Books,Discount,Silver
282,192.81,4/28/2024,Online,Home,Full Price,Bronze
986,29.7,12/28/2023,In-store,Electronics,Discount,Silver
88,2.11,4/12/2024,Online,Groceries,Full Price,Platinum
204,25.24,8/14/2023,Online,Home,Full Price,Bronze
16,5.82,2/3/2024,Online,Groceries,Discount,Silver
151,10.91,2/20/2024,Online,Apparel,Discount,Platinum
936,56.48,4/4/2024,Online,Apparel,Discount,Gold
254,26.13,9/11/2023,In-store,Electronics,Full Price,Gold
188,72.56,12/17/2023,In-store,Electronics,Return,Gold
329,29.24,3/9/2024,Online,Electronics,Full Price,Bronze
544,282.24,9/28/2023,Online,Apparel,Full Price,Gold
783,236.39,3/12/2024,In-store,Home,Full Price,Platinum
997,83.66,4/1/2024,In-store,Books,Full Price,Silver
397,43.76,10/21/2023,Online,Electronics,Full Price,Bronze
517,47.99,12/19/2023,In-store,Books,Discount,Silver
459,53.08,8/7/2023,Online,Books,Discount,Bronze
330,130.04,11/18/2023,Online,Apparel,Return,Bronze
820,60.08,10/21/2023,Online,Home,Discount,Silver
845,194.3,2/18/2024,In-store,Apparel,Full Price,Silver
169,288.41,12/24/2023,Online,Electronics,Discount,Silver
693,40.94,5/24/2024,In-store,Apparel,Discount,Bronze
366,82.26,9/27/2023,In-store,Apparel,Full Price,Gold
178,9.99,12/21/2023,In-store,Apparel,Discount,Bronze
655,22.37,3/30/2024,In-store,Electronics,Full Price,Bronze
362,53.35,8/23/2023,Online,Electronics,Full Price,Silver
760,23.09,8/28/2023,Online,Apparel,Full Price,Bronze
639,209.2,7/20/2024,In-store,Apparel,Discount,Bronze
775,17.23,6/10/2024,Online,Books,Discount,Bronze
40,60.82,3/25/2024,In-store,Home,Full Price,Gold
924,93.06,3/19/2024,Online,Books,Full Price,Silver
416,117.72,3/9/2024,Online,Home,Return,Bronze
355,48.3,3/27/2024,Online,Home,Return,Bronze
255,203.33,12/19/2023,Online,Apparel,Full Price,Silver
143,84.01,5/22/2024,Online,Books,Full Price,Gold
752,57.89,11/2/2023,Online,Home,Discount,Silver
740,6.96,1/27/2024,In-store,Home,Full Price,Gold
853,62.49,7/29/2024,Online,Electronics,Full Price,Silver
710,171.89,10/21/2023,Online,Home,Full Price,Gold
577,95.33,7/10/2024,Online,Apparel,Discount,Gold
900,178.48,2/17/2024,In-store,Groceries,Discount,Gold
11,68.12,9/26/2023,Online,Electronics,Full Price,Platinum
620,12.61,8/4/2023,Online,Groceries,Full Price,Silver
26,1.37,11/29/2023,Online,Apparel,Full Price,Platinum
957,36.13,12/11/2023,In-store,Groceries,Full Price,Silver
421,119.73,9/11/2023,Online,Home,Full Price,Gold
663,156.19,2/25/2024,In-store,Groceries,Full Price,Bronze
221,35.06,3/3/2024,In-store,Books,Full Price,Silver
853,68.45,1/1/2024,Online,Apparel,Full Price,Gold
496,54.67,12/27/2023,Online,Books,Discount,Bronze
237,52.85,11/29/2023,In-store,Groceries,Discount,Silver
237,26.31,10/3/2023,In-store,Books,Full Price,Gold
219,14.66,10/30/2023,Online,Electronics,Full Price,Bronze
487,21.9,3/3/2024,Online,Groceries,Full Price,Silver
936,5.69,1/18/2024,In-store,Books,Discount,Silver
461,22.08,7/11/2024,In-store,Home,Full Price,Silver
663,0.92,11/18/2023,In-store,Groceries,Full Price,Bronze
635,98.69,7/15/2024,In-store,Electronics,Discount,Bronze
144,38.03,6/11/2024,Online,Home,Discount,Bronze
990,361.73,11/5/2023,In-store,Groceries,Full Price,Bronze
189,21.53,9/21/2023,Online,Home,Full Price,Bronze
255,42.44,5/10/2024,In-store,Groceries,Return,Gold
68,44.29,9/30/2023,In-store,Groceries,Return,Silver
616,0.85,3/30/2024,Online,Apparel,Full Price,Gold
336,182.76,10/16/2023,Online,Books,Discount,Bronze
671,3.25,11/13/2023,Online,Groceries,Full Price,Silver
821,281.64,6/13/2024,Online,Electronics,Return,Bronze
874,222.63,7/26/2024,In-store,Books,Full Price,Gold
409,76.68,4/6/2024,Online,Apparel,Discount,Gold
300,78.44,4/5/2024,Online,Books,Discount,Gold
908,106.07,11/12/2023,Online,Books,Full Price,Bronze
602,48.95,8/14/2023,In-store,Groceries,Discount,Gold
357,104.19,3/25/2024,In-store,Electronics,Full Price,Silver
256,4.58,2/12/2024,Online,Groceries,Full Price,Gold
353,5.56,7/5/2024,In-store,Electronics,Full Price,Silver
732,61.11,1/15/2024,In-store,Electronics,Return,Silver
521,79.77,9/22/2023,Online,Home,Full Price,Bronze
524,218.76,8/22/2023,In-store,Groceries,Discount,Silver
837,11.06,4/26/2024,Online,Apparel,Discount,Bronze
950,172.96,7/15/2024,Online,Books,Full Price,Bronze
756,23.58,2/10/2024,Online,Home,Full Price,Bronze
694,50.1,4/22/2024,In-store,Apparel,Discount,Platinum
284,38.07,1/28/2024,Online,Groceries,Return,Bronze
312,51.11,1/30/2024,In-store,Electronics,Full Price,Gold
99,16.31,12/30/2023,In-store,Groceries,Full Price,Platinum
197,70.03,11/24/2023,In-store,Groceries,Full Price,Platinum
482,161.77,12/29/2023,In-store,Home,Full Price,Gold
878,58.26,7/3/2024,Online,Apparel,Full Price,Gold
